timestamp,iteration,replicas,test_id,concurrent_users,req_per_sec,response_time_avg,response_time_max,cpu_percent,memory_percent,avg_factorial_complexity,max_factorial_complexity,power_per_container,total_power
1752486723.5476642,1,1,1,81,167.8,0.4375,0.699,93.0,19.9,491.0,2835,6.68,6.68
1752486773.5619736,1,1,2,606,145.3,4.0588,5.8794,95.0,20.3,527.0,2988,6.82,6.82
1752486781.3949406,1,1,3,88,165.6,0.4924,0.7688,0.1,7.6,542.0,2916,1.65,1.65
1752486788.0688431,1,1,4,62,169.3,0.3484,0.561,0.1,7.6,504.0,2848,1.66,1.66
1752486793.4111025,1,1,5,54,174.9,0.2873,0.4812,0.1,7.6,549.0,2774,1.67,1.67
1752486850.2491925,1,1,6,643,146.4,4.2923,5.9823,12.9,7.8,522.0,2999,1.84,1.84
1752486863.9903193,1,1,7,402,159.7,2.3055,3.7902,9.6,7.7,529.0,2987,1.78,1.78
1752486878.4577959,1,1,8,150,161.8,0.8922,1.3136,9.4,7.8,543.0,2915,1.78,1.78
1752486950.3538318,1,1,9,758,142.7,5.1834,6.8491,13.5,9.2,524.0,3000,1.85,1.85
1752486957.081673,1,1,10,241,184.6,1.0577,1.826,13.5,9.2,488.0,2966,1.91,1.91
1752486963.6376,1,1,11,101,163.8,0.5563,0.8902,3.2,9.2,556.0,3000,1.68,1.68
1752486968.109844,1,1,12,14,182.9,0.073,0.1598,3.2,9.2,520.0,2767,1.71,1.71
1752487008.5108287,1,1,13,487,147.7,3.2087,4.257,95.0,20.2,523.0,2950,6.82,6.82
1752487013.5860095,1,1,14,14,172.0,0.0802,0.1706,57.0,20.3,526.0,2568,3.98,3.98
1752487017.9461355,1,1,15,7,210.7,0.0326,0.0897,47.7,20.0,497.0,2198,3.47,3.47
1752487067.247406,1,1,16,561,149.0,3.6741,4.9538,13.4,9.5,525.0,2988,1.86,1.86
1752487077.8798933,1,1,17,107,163.9,0.6322,0.9338,95.0,20.1,514.0,2777,6.84,6.84
1752487128.7189088,1,1,18,684,146.4,4.5399,6.2375,7.1,9.6,527.0,2943,1.71,1.71
1752487138.2975426,1,1,19,221,161.4,1.256,1.9077,14.5,9.5,545.0,2961,1.91,1.91
1752487145.2828147,1,1,20,53,161.7,0.3136,0.4941,80.0,20.3,527.0,2829,5.6,5.6
1752487163.7544146,1,1,21,656,159.2,2.8055,3.9985,9.4,9.9,540.0,2993,1.78,1.78
