timestamp,iteration,replicas,test_id,intensity_level,concurrent_users,total_requests,successful_requests,failed_requests,req_per_sec,response_time_avg,response_time_max,response_time_p95,cpu_percent,memory_percent,load_balanced,avg_complexity,max_complexity,test_duration,power_per_container,total_power,rps_per_replica,power_efficiency,scaling_efficiency_vs_baseline,latency_inflation_vs_baseline
1752529220.8003955,1,1,1,1,12,59,59,0,188.2,0.0614,0.0952,0.0948,45.9,6.8,False,87.0,150,0.3,3.71,3.71,188.2,50.71,100.0,1.0
1752529229.4118004,1,1,2,2,32,106,106,0,183.7,0.1489,0.2391,0.2243,42.2,7.4,True,83.0,200,0.6,3.55,3.55,183.7,51.76,97.6,2.43
1752529237.9167147,1,1,3,3,27,93,93,0,199.5,0.1115,0.1995,0.1873,47.3,7.4,True,95.0,200,0.5,3.81,3.81,199.5,52.36,106.0,1.82
1752529246.366076,1,1,4,1,13,54,54,0,219.3,0.0559,0.1022,0.0985,40.8,7.8,True,84.0,200,0.2,3.61,3.61,219.3,60.75,116.5,0.91
1752529254.6838796,1,1,5,2,38,60,60,0,216.9,0.1311,0.2304,0.2269,48.8,7.8,True,78.0,200,0.3,3.93,3.93,216.9,55.21,115.2,2.13
1752529263.4942894,1,1,6,3,51,147,147,0,191.3,0.2238,0.4526,0.3652,43.4,7.9,True,88.0,200,0.8,3.62,3.62,191.3,52.82,101.6,3.64
1752529272.0102885,1,1,7,1,14,56,56,0,180.8,0.0717,0.0987,0.0977,47.8,8.1,True,85.0,200,0.3,3.77,3.77,180.8,48.01,96.1,1.17
1752529280.3446126,1,1,8,2,28,62,62,0,210.3,0.0971,0.1681,0.166,49.4,8.1,True,88.0,150,0.3,3.93,3.93,210.3,53.44,111.7,1.58
1752529288.9623823,1,1,9,3,27,108,108,0,185.5,0.1279,0.206,0.1908,41.0,8.0,True,88.0,200,0.6,3.51,3.51,185.5,52.93,98.6,2.08
1752529297.3853285,1,1,10,1,14,47,47,0,208.4,0.0622,0.1037,0.1027,40.1,8.0,True,79.0,150,0.2,3.55,3.55,208.4,58.77,110.7,1.01
1752529305.731919,1,1,11,2,36,62,62,0,203.6,0.1416,0.2668,0.2467,46.9,8.0,True,87.0,200,0.3,3.81,3.81,203.6,53.48,108.1,2.31
1752529314.2525291,1,1,12,3,27,93,93,0,195.1,0.1146,0.2023,0.1909,41.3,8.0,True,88.0,200,0.5,3.55,3.55,195.1,54.92,103.6,1.87
