concurrent_users,requests_per_second,total_requests,successful_requests,cpu_percent,memory_percent,replicas,error_rate_percent,response_time_avg,response_time_max,response_time_p95,response_time_p99,complexity_avg,complexity_max,throughput_per_replica,run_number,scenario_name,timestamp,test_duration,efficiency_score
5,67.5,172,172,0.8,20.7,1,0.0,0.0736,0.083,0.0805,0.0817,50.6,80,67.45,1,micro_load,1754394205,2.5,67.45
8,109.5,232,232,1.0,20.6,1,0.0,0.0716,0.0848,0.0814,0.0828,48.6,80,109.53,2,micro_load,1754394209,2.1,109.53
7,97.1,206,206,1.0,20.6,1,0.0,0.0711,0.0851,0.0806,0.084,49.3,80,97.11,3,micro_load,1754394213,2.1,97.11
5,66.3,202,202,1.2,20.6,1,0.0,0.0747,0.0849,0.0816,0.0835,50.1,80,66.34,4,micro_load,1754394218,3.0,66.34
7,95.0,116,116,1.9,20.7,1,0.0,0.0712,0.0845,0.0821,0.0831,51.5,80,95.01,5,micro_load,1754394221,1.2,95.01
9,122.3,180,180,1.9,20.7,1,0.0,0.0713,0.0882,0.0821,0.0851,50.7,80,122.27,6,micro_load,1754394225,1.5,122.27
5,70.2,188,188,2.0,20.6,1,0.0,0.0702,0.0834,0.0814,0.0832,50.8,80,70.22,7,micro_load,1754394230,2.7,70.22
8,114.0,168,168,1.8,20.6,1,0.0,0.069,0.0853,0.0813,0.0837,51.3,79,113.97,8,micro_load,1754394233,1.5,113.97
6,83.1,228,228,1.9,20.6,1,0.0,0.0714,0.0832,0.0804,0.0828,53.0,80,83.09,9,micro_load,1754394238,2.7,83.09
7,97.9,112,112,2.3,20.6,1,0.0,0.0689,0.0834,0.0823,0.0832,48.4,80,97.86,10,micro_load,1754394241,1.1,97.86
8,107.8,272,272,2.8,20.7,1,0.0,0.0733,0.0831,0.0816,0.0822,99.8,150,107.83,1,light_steady,1754394251,2.5,107.83
14,193.1,332,332,2.6,20.7,1,0.0,0.0704,0.0873,0.0825,0.0838,98.0,150,193.14,2,light_steady,1754394255,1.7,193.14
12,169.2,306,306,2.3,20.7,1,0.0,0.0692,0.087,0.0821,0.0838,100.7,150,169.24,3,light_steady,1754394259,1.8,169.24
9,122.4,302,302,2.4,20.7,1,0.0,0.0723,0.085,0.0823,0.0841,101.7,150,122.42,4,light_steady,1754394263,2.5,122.42
13,172.8,216,216,2.3,20.7,1,0.0,0.0724,0.0859,0.082,0.0846,101.0,150,172.84,5,light_steady,1754394266,1.2,172.84
13,178.7,232,232,2.6,20.7,1,0.0,0.0701,0.0859,0.0834,0.0848,99.4,150,178.7,6,light_steady,1754394270,1.3,178.7
9,125.6,288,288,2.2,20.7,1,0.0,0.0707,0.0843,0.0823,0.0837,100.4,149,125.56,7,light_steady,1754394274,2.3,125.56
15,209.2,268,268,2.4,20.7,1,0.0,0.0698,0.0877,0.0835,0.086,98.6,150,209.17,8,light_steady,1754394278,1.3,209.17
11,148.6,328,328,3.0,20.7,1,0.0,0.0726,0.0906,0.0826,0.0866,102.8,150,148.6,9,light_steady,1754394282,2.2,148.6
12,165.3,212,212,2.6,20.7,1,0.0,0.0711,0.0873,0.0811,0.0832,98.4,150,165.31,10,light_steady,1754394285,1.3,165.31
12,170.0,446,446,3.5,20.7,1,0.0,0.0698,0.0849,0.0819,0.0843,138.9,200,170.0,1,moderate_consistent,1754394295,2.6,170.0
18,254.3,566,566,3.8,20.7,1,0.0,0.0696,0.0898,0.0829,0.0869,137.9,200,254.28,2,moderate_consistent,1754394299,2.2,254.28
16,225.0,512,512,4.0,20.7,1,0.0,0.0697,0.0863,0.082,0.0842,141.4,200,225.03,3,moderate_consistent,1754394304,2.3,225.03
13,187.6,504,504,3.8,20.7,1,0.0,0.0685,0.086,0.0819,0.0837,139.2,200,187.58,4,moderate_consistent,1754394308,2.7,187.58
17,237.2,332,332,4.3,20.7,1,0.0,0.0697,0.0861,0.0825,0.084,141.9,200,237.22,5,moderate_consistent,1754394312,1.4,237.22
20,279.6,460,460,3.7,20.7,1,0.0,0.0689,0.0868,0.0827,0.0843,141.2,200,279.59,6,moderate_consistent,1754394315,1.6,279.59
13,183.3,476,476,4.5,20.7,1,0.0,0.07,0.085,0.082,0.0844,139.1,200,183.25,7,moderate_consistent,1754394320,2.6,183.25
19,271.5,436,436,4.4,20.7,1,0.0,0.0679,0.0868,0.0825,0.0856,138.9,200,271.47,8,moderate_consistent,1754394324,1.6,271.47
15,213.6,556,556,4.4,20.7,1,0.0,0.0694,0.0858,0.0829,0.0846,142.6,200,213.64,9,moderate_consistent,1754394328,2.6,213.64
16,215.8,326,326,5.6,20.7,1,0.0,0.0712,0.0987,0.0839,0.0967,137.3,200,215.83,10,moderate_consistent,1754394332,1.5,215.83
18,256.2,646,646,6.4,20.7,1,0.0,0.0692,0.0859,0.0825,0.0847,184.1,250,256.2,1,business_hours,1754394342,2.5,256.2
24,340.5,766,766,6.9,20.7,1,0.0,0.0689,0.0968,0.0845,0.0911,182.9,250,340.53,2,business_hours,1754394346,2.2,340.53
22,306.9,712,712,6.3,20.7,1,0.0,0.0699,0.0927,0.0839,0.0875,184.7,250,306.88,3,business_hours,1754394350,2.3,306.88
19,268.6,704,704,6.2,20.7,1,0.0,0.0696,0.0888,0.0841,0.0873,186.0,250,268.63,4,business_hours,1754394355,2.6,268.63
23,328.0,532,532,5.0,20.7,1,0.0,0.0681,0.0943,0.0847,0.0896,186.0,250,327.95,5,business_hours,1754394359,1.6,327.95
23,323.5,566,566,6.2,20.7,1,0.0,0.069,0.0905,0.0839,0.0869,185.1,250,323.49,6,business_hours,1754394363,1.7,323.49
19,266.5,676,676,5.8,20.7,1,0.0,0.07,0.0953,0.0835,0.0885,184.1,250,266.52,7,business_hours,1754394367,2.5,266.52
25,348.3,636,636,7.9,20.7,1,0.0,0.0699,0.1069,0.0857,0.0932,186.7,250,348.28,8,business_hours,1754394371,1.8,348.28
21,292.4,756,756,6.1,20.7,1,0.0,0.0708,0.1014,0.0854,0.0887,186.0,250,292.45,9,business_hours,1754394376,2.6,292.45
22,311.0,526,526,9.2,20.7,1,0.0,0.0691,0.0952,0.0852,0.0904,184.0,250,311.01,10,business_hours,1754394379,1.7,311.01
25,344.8,846,846,8.9,20.7,1,0.0,0.0706,0.096,0.0855,0.0911,223.2,300,344.83,1,peak_usage,1754394389,2.5,344.83
31,436.1,966,966,10.1,20.7,1,0.0,0.0698,0.0934,0.0867,0.0908,222.3,300,436.11,2,peak_usage,1754394393,2.2,436.11
29,435.1,912,912,10.1,20.7,1,0.0,0.0654,0.0918,0.0829,0.0873,224.6,300,435.06,3,peak_usage,1754394397,2.1,435.06
26,367.3,904,904,9.3,20.7,1,0.0,0.0695,0.1031,0.0854,0.0897,223.7,300,367.34,4,peak_usage,1754394402,2.5,367.34
30,414.5,732,732,7.3,20.7,1,0.0,0.0696,0.0971,0.0858,0.0911,227.4,300,414.49,5,peak_usage,1754394406,1.8,414.49
33,261.2,860,276,12.1,20.8,1,67.91,0.0711,0.0945,0.0874,0.0914,224.3,300,261.15,6,peak_usage,1754394409,1.1,83.81
32,107.4,836,87,12.1,20.8,1,89.59,0.0823,0.1208,0.1178,0.1208,227.5,299,107.45,8,peak_usage,1754394413,0.8,11.18
28,262.2,956,359,12.1,20.8,1,62.45,0.0695,0.0966,0.0867,0.0936,227.2,300,262.21,9,peak_usage,1754394416,1.4,98.47
29,373.5,726,566,11.6,20.7,1,22.04,0.0713,0.1004,0.0883,0.0937,224.7,300,373.49,10,peak_usage,1754394420,1.5,291.18
41,410.1,1492,1036,11.2,20.7,1,30.56,0.083,0.1307,0.1113,0.122,297.6,400,410.09,1,flash_traffic,1754394429,2.5,284.75
53,204.2,1732,345,12.3,20.7,1,80.08,0.0962,1.0748,0.119,0.1656,296.8,398,204.18,2,flash_traffic,1754394433,1.7,40.67
48,255.8,1626,462,12.3,20.7,1,71.59,0.0925,0.1437,0.1257,0.1367,302.1,400,255.82,3,flash_traffic,1754394437,1.8,72.69
42,252.0,1608,476,12.3,20.8,1,70.4,0.0877,0.1419,0.1302,0.1399,299.3,400,252.01,4,flash_traffic,1754394441,1.9,74.6
