concurrent_users,requests_per_second,total_requests,cpu_percent,memory_percent,replicas,response_time_avg,response_time_max,response_time_p95,complexity_avg,complexity_max,run_number,scenario_name,timestamp,test_duration
8,107.7,37,0.2,20.1,2,0.0689,0.082,0.0817,54.0,78,1,light_load,1754075320,0.3
3,44.9,48,0.2,20.1,2,0.0656,0.0819,0.0817,54.2,80,2,light_load,1754075321,1.1
9,120.5,83,0.1,20.1,2,0.0707,0.0844,0.0809,96.9,148,1,medium_load,1754075323,0.7
8,114.0,116,0.1,20.1,2,0.0683,0.0819,0.0806,102.2,150,2,medium_load,1754075325,1.0
13,185.9,123,0.1,20.1,2,0.067,0.0843,0.0815,173.0,250,1,heavy_load,1754075327,0.7
12,167.2,156,0.1,20.1,2,0.0694,0.0845,0.0824,171.9,250,2,heavy_load,1754075329,0.9
25,330.2,164,0.2,20.1,2,0.0677,0.0922,0.084,113.9,199,1,variable_load,1754075331,0.5
15,210.6,186,0.2,20.1,2,0.0685,0.0835,0.0813,111.3,200,2,variable_load,1754075332,0.9
23,312.2,203,0.3,20.1,2,0.0672,0.0864,0.0823,223.3,300,1,stress_load,1754075334,0.7
21,288.3,236,0.3,20.1,2,0.0689,0.0879,0.0833,223.2,300,2,stress_load,1754075336,0.8
28,373.7,256,0.2,20.1,2,0.0689,0.0965,0.0863,226.1,400,1,peak_load,1754075338,0.7
26,359.8,323,0.6,20.1,2,0.0692,0.0951,0.0848,222.1,400,2,peak_load,1754075340,0.9
6,87.2,61,0.6,20.1,2,0.0668,0.0824,0.0814,38.0,60,1,burst_light,1754075342,0.7
5,66.9,78,0.6,20.1,2,0.0733,0.0837,0.0826,40.5,59,2,burst_light,1754075344,1.2
33,432.2,306,0.6,20.1,2,0.0702,0.1103,0.0865,346.9,499,1,intensive_load,1754075346,0.7
31,422.4,373,0.7,20.1,2,0.0694,0.1015,0.086,345.8,500,2,intensive_load,1754075347,0.9
15,208.4,107,1.9,20.1,2,0.0675,0.0851,0.0826,99.6,110,1,uniform_load,1754075349,0.5
10,132.8,118,1.9,20.1,2,0.0701,0.0835,0.082,99.7,110,2,uniform_load,1754075351,0.9
38,493.6,183,1.9,20.1,2,0.0663,0.0873,0.0831,185.3,350,1,extreme_variable,1754075353,0.4
8,102.3,37,2.9,20.1,2,0.0705,0.082,0.082,54.0,78,1,light_load,1754075359,0.4
6,80.0,48,2.9,20.1,2,0.0699,0.0827,0.0817,54.2,80,2,light_load,1754075361,0.6
