concurrent_users,total_requests,avg_complexity,complexity_range,complexity_std,replicas,scenario_name,run_number,actual_rps,response_time_avg,response_time_p95,response_time_max,success_rate_percent,error_rate_percent,cpu_percent,memory_percent,load_balanced,rps_per_replica,requests_per_user,throughput_efficiency,load_pressure_score,complexity_score,resource_utilization_score,timestamp,test_id,test_duration,scenario_id
5,50,50.6,50,15.2,1,light_simple,1,208.8,0.0233,0.0508,0.0513,100.0,0.0,1.2,25.3,True,208.8,10.0,417.6,0.25,0.66,13.3,1752664900.1292543,1,0.2,1
5,50,50.0,50,16.5,1,light_simple,2,132.3,0.0295,0.0505,0.1253,100.0,0.0,1.1,25.3,True,132.3,10.0,264.6,0.25,0.66,13.2,1752664901.6152084,2,0.4,1
5,50,51.8,50,15.2,1,light_simple,3,235.5,0.0207,0.0376,0.0433,100.0,0.0,1.1,25.3,False,235.5,10.0,471.0,0.26,0.67,13.2,1752664902.9411457,3,0.2,1
5,50,50.6,50,15.2,2,light_simple,1,116.3,0.0346,0.0669,0.1063,100.0,0.0,0.5,21.4,False,58.1,10.0,232.6,0.25,0.66,10.9,1752664922.2118914,4,0.4,1
5,50,50.0,50,16.5,2,light_simple,2,388.5,0.0122,0.0211,0.0256,100.0,0.0,0.5,21.4,False,194.2,10.0,777.0,0.25,0.66,10.9,1752664923.4539382,5,0.1,1
5,50,51.8,50,15.2,2,light_simple,3,280.4,0.0173,0.0372,0.0447,100.0,0.0,0.5,21.4,False,140.2,10.0,560.8,0.26,0.67,10.9,1752664924.7384992,6,0.2,1
5,50,50.6,50,15.2,3,light_simple,1,246.3,0.02,0.043,0.0435,100.0,0.0,0.4,22.7,False,82.1,10.0,492.6,0.25,0.66,11.6,1752664943.7717125,7,0.2,1
5,50,50.0,50,16.5,3,light_simple,2,324.7,0.015,0.0329,0.0355,100.0,0.0,0.4,22.7,False,108.2,10.0,649.4,0.25,0.66,11.6,1752664945.0313957,8,0.2,1
5,50,51.8,50,15.2,3,light_simple,3,268.1,0.0178,0.0466,0.0471,100.0,0.0,0.4,22.7,False,89.4,10.0,536.2,0.26,0.67,11.6,1752664946.3076193,9,0.2,1
5,50,50.6,50,15.2,4,light_simple,1,222.5,0.0222,0.0481,0.0513,100.0,0.0,0.5,23.6,False,55.6,10.0,444.9,0.25,0.66,12.1,1752664965.343874,10,0.2,1
5,50,50.0,50,16.5,4,light_simple,2,358.8,0.0127,0.0268,0.0435,100.0,0.0,0.5,23.6,False,89.7,10.0,717.6,0.25,0.66,12.1,1752664966.5813208,11,0.1,1
5,50,51.8,50,15.2,4,light_simple,3,276.3,0.0164,0.0401,0.0464,100.0,0.0,0.5,23.6,False,69.1,10.0,552.7,0.26,0.67,12.1,1752664967.864546,12,0.2,1
5,50,183.9,200,54.8,1,light_complex,1,203.6,0.0238,0.0463,0.0473,100.0,0.0,1.8,23.6,False,203.6,10.0,407.1,0.92,2.39,12.7,1752664974.4048295,13,0.2,2
5,50,180.3,200,54.5,1,light_complex,2,192.7,0.0252,0.0657,0.0672,100.0,0.0,1.8,23.6,False,192.7,10.0,385.5,0.9,2.35,12.7,1752664975.756982,14,0.3,2
